f_rouge_1_LexRank,f_rouge_1_Lsa,f_rouge_1_TextRank,f_rouge_1_Luhn
0.19402984588104266,0.14906831798618897,0.1965317869557955,0.2253521077246579
0.3025210038358873,0.2857142814174108,0.25988700073414417,0.25988700073414417
0.3410852664046632,0.24390243419922011,0.25714285215204086,0.24390243419922011
0.3310344777702735,0.1866666616986668,0.3246753197292967,0.2837837788066107
0.32911391907066184,0.16842104787590043,0.29629629153159215,0.36942674660878744
0.3921568578222052,0.30555555074459884,0.4497041370134099,0.4161073776694743
0.21917807728560718,0.2637362587749065,0.2513088956092213,0.19540229386114427
0.16091953537851778,0.21374045326029964,0.24324323872626008,0.31818181344008273
0.3708609221525372,0.41958041459240064,0.4258064466181061,0.2833333286458334
0.25806451155046833,0.1459853965368428,0.3947368373268698,0.3174603124716554
0.2857142808163266,0.1999999950500001,0.42528735147047164,0.42528735147047164
0.23448275368941746,0.18713449793782716,0.26356588680007215,0.202531640572825
0.21818181334710754,0.20512820026709414,0.227979270144165,0.2513088960335518
0.23622046770165553,0.2345678962414267,0.37499999500312503,0.34939758537959065
0.33333332864583337,0.2137404530505216,0.33846153349112423,0.3448275812128419
0.17999999564800012,0.3458646566566794,0.33526011083564444,0.34523809041950115
0.16528925166586994,0.3612903175825183,0.34782608195825787,0.34722221726948305
0.3503649587276893,0.317073165732451,0.3905325393802738,0.3503649587276893
0.2814814766024692,0.285714280739796,0.26589594880550643,0.26589594880550643
0.2638888839361498,0.3797468304430381,0.29487178987261675,0.3741007145178821
0.30097086905787546,0.28025477207026656,0.2910798075399502,0.28806583923317924
0.35922329598265623,0.3961352607146025,0.3627906927134667,0.37647058335224914
0.45849801891858954,0.37788017935568824,0.4687499952224732,0.4687499952224732
0.43930635340973645,0.2745097991541715,0.31249999500000003,0.26881719939877446
0.43153526473442266,0.2989690672845149,0.39843749507812504,0.39843749507812504
0.2622950779108439,0.24999999515943885,0.30363035951900147,0.3445692845566637
0.23868312259648777,0.2832617975796203,0.3109540588070772,0.3245613985091567
