f_rouge_1_T5,f_rouge_1_BERT,f_rouge_1_GPT,f_rouge_1_DistilBERT,f_rouge_1_GPT2
0.12631578653518014,0.19199999530752013,0.19718309364015088,0.24844719997376655,0.14193547887117602
0.2574257389510832,0.21052631091412755,0.2264150893445672,0.2179487129495399,0.16883116383116897
0.24074073635973942,0.2322580595329866,0.24691357529568672,0.28395061233272373,0.17333332833688903
0.40404039981634526,0.2465753374807657,0.2933333283653334,0.3096774144149844,0.20547944706980684
0.2882882838438439,0.3230769181727811,0.3037974633744593,0.3105590012437792,0.21192052480329823
0.38596490857494625,0.41333332844088894,0.3950617234141137,0.4470588185301038,0.18404907476984467
0.14285713901945166,0.1971830937343782,0.2531645519748438,0.29999999500703134,0.1749999950070314
0.3373493928523734,0.3361344488835535,0.22857142393979601,0.28571428118284053,0.14062499520629898
0.25742573875110286,0.2714285664540817,0.2692307642381657,0.29299362558318803,0.1578947318429711
0.4123711293017324,0.38655461684909265,0.37795275092070185,0.42962962469135807,0.1751824768288136
0.4705882311418686,0.4592592542814815,0.4353741446619464,0.48648648149013884,0.14765100171703996
0.19298245202677755,0.3013698580737475,0.3066666616986667,0.32530119982218036,0.16455695702852122
0.2680412326921034,0.14814814315500704,0.2147650957524437,0.23376622888767087,0.1126760513737356
0.22608695215727792,0.2857142807795919,0.35151514653002763,0.397590356463928,0.1935483820969824
0.3260869519848772,0.3484848435261709,0.3698630088571965,0.361290317835588,0.1751824768288136
0.336633658966768,0.3015872966187957,0.2285714235755103,0.2745097989832971,0.1379310295020216
0.3103448232416766,0.22900762880018657,0.24836600807723536,0.25316455196202536,0.16666666166748864
0.29357797801868535,0.3448275813117717,0.333333328334042,0.38888888391913584,0.1999999950070314
0.21428571005739808,0.2684563708499617,0.2962962913031551,0.2822085839662765,0.11612902725827286
0.3529411720076266,0.23376622876960712,0.27710842874655256,0.30588234796609,0.16666666166748864
0.26785713870057404,0.2837837788066107,0.25301204320438386,0.26415093839642423,0.35897435397518085
0.2857142818361694,0.4142011785595743,0.4393063534698788,0.4858757012723037,0.14857142364342876
0.3384615349952663,0.2613636314727532,0.3431952614628339,0.4293785261731942,0.15730336587741464
0.2203389786842862,0.2953020084500699,0.27450979893203475,0.28571428071447863,0.15286623704004235
0.2517482483524867,0.39361701645993663,0.41304347349716447,0.47422679924327776,0.14814814331961607
0.2545454498694215,0.44755244255856036,0.490322575705307,0.5098039166166859,0.21917807720679316
0.280254773035823,0.186528492555505,0.2450980342738371,0.2424242375242323,0.21052631096897517
